Day,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2020-1-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-25,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-26,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-27,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-28,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-29,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-30,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-1-31,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-2,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-3,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-4,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-5,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-6,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-7,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-8,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-9,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-10,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-11,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-12,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-13,1,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2-14,2,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,0,0,3,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-2-15,2,0,0,0,0,0,0,0,0,0,0,4,14,3,0,0,0,0,0,0,0,0,4,1,0,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-2-16,2,0,0,0,0,0,0,0,0,0,0,4,19,3,0,0,0,0,0,0,0,0,5,1,0,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-2-17,2,0,0,0,0,0,0,0,0,0,0,4,19,4,0,0,0,0,0,0,0,0,6,1,0,2,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-2-18,2,0,0,0,0,0,0,0,0,0,0,4,22,5,0,0,0,0,0,0,0,0,7,1,0,2,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-2-19,4,0,0,0,0,0,0,0,0,0,0,4,25,7,0,0,0,0,0,0,0,0,8,1,0,2,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-2-20,5,0,0,0,0,0,0,0,0,0,0,5,25,9,0,0,0,0,0,0,0,0,9,1,0,2,1,0,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
2020-2-21,8,0,0,0,0,0,0,0,0,0,1,6,28,12,0,0,1,0,0,0,0,0,11,1,0,2,1,0,1,12,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3
2020-2-22,17,0,0,0,0,0,0,0,1,0,1,9,29,16,0,0,2,0,0,0,0,0,15,1,0,2,1,0,1,13,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3
2020-2-23,26,0,0,0,0,0,0,0,1,0,1,10,29,16,0,0,2,0,0,0,0,0,17,1,0,2,1,0,1,13,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3
2020-2-24,30,0,0,0,0,0,0,0,1,0,1,10,32,17,0,0,4,0,0,0,0,0,17,1,0,2,1,0,1,13,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,3
2020-2-25,35,0,0,0,0,0,0,0,1,0,1,10,32,17,0,0,4,0,0,1,0,0,20,1,0,2,1,0,1,13,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,3
2020-2-26,39,0,0,0,0,0,0,0,1,0,1,13,35,18,0,0,4,0,0,2,1,0,25,1,0,2,1,0,1,13,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,3
2020-2-27,54,0,0,0,0,0,0,0,1,0,1,13,36,21,0,0,5,0,0,2,2,0,27,1,0,2,2,0,1,13,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,3
2020-2-28,66,0,0,0,0,0,0,0,1,0,1,13,36,22,0,0,6,0,0,2,2,1,28,1,0,2,4,0,1,13,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,3
2020-2-29,70,0,0,1,0,0,0,0,1,0,1,13,37,22,1,0,6,0,0,2,2,1,29,1,0,2,4,0,1,13,0,0,0,0,0,1,0,0,1,2,0,0,5,0,0,0,3
2020-3-1,72,0,0,1,0,0,0,0,1,0,1,14,39,25,1,0,6,0,0,2,2,1,32,1,0,2,4,1,1,13,0,0,0,0,0,1,0,0,2,3,0,0,5,0,0,0,3
2020-3-2,77,0,0,1,0,0,0,0,1,0,1,14,39,30,5,0,6,0,0,2,2,1,32,1,0,2,6,1,1,13,0,0,0,0,0,1,0,1,3,3,0,0,5,0,0,0,3
2020-3-3,79,0,0,1,0,0,0,0,1,0,1,14,40,31,5,0,6,0,0,2,2,1,41,1,0,3,8,3,1,13,0,0,0,0,0,1,0,1,3,3,0,0,5,1,0,0,3
2020-3-4,82,0,0,1,0,0,0,0,1,0,1,15,44,31,5,0,6,0,0,2,2,1,49,1,0,5,17,3,1,13,0,0,0,0,1,1,0,2,7,3,0,0,6,1,1,0,3
2020-3-5,83,0,0,1,0,0,0,0,2,0,3,15,52,34,6,0,6,0,0,2,2,1,57,1,1,6,18,4,1,14,0,0,0,0,3,1,0,2,7,3,0,0,6,1,1,0,3
2020-3-6,90,0,0,1,2,0,0,0,2,0,6,17,58,40,6,0,6,0,1,3,2,1,62,1,1,7,31,8,4,14,0,0,0,0,3,1,0,2,9,3,0,0,6,1,1,0,3
2020-3-7,98,0,0,1,2,0,1,0,2,1,6,21,64,41,6,0,6,0,2,3,2,1,69,1,1,8,41,10,4,14,0,0,0,1,3,1,0,2,10,3,0,0,6,1,1,0,3
2020-3-8,101,0,0,1,2,0,1,0,2,1,7,21,64,41,6,0,6,0,2,3,2,1,80,1,1,8,55,12,4,14,0,0,0,1,3,1,0,2,12,3,0,0,6,1,1,0,3
2020-3-9,108,0,0,1,2,0,1,0,2,1,7,22,64,41,8,0,7,0,2,3,2,1,86,1,1,12,55,16,7,14,0,0,0,1,3,1,0,2,12,3,0,0,6,1,1,0,3
2020-3-10,111,0,0,1,2,0,1,0,2,1,12,23,67,43,11,0,7,0,2,3,2,2,99,2,1,13,73,24,7,14,0,0,0,1,3,1,0,2,12,3,0,0,6,1,1,0,3
2020-3-11,118,0,0,1,2,0,1,0,2,1,14,25,73,46,11,0,7,0,2,3,2,2,104,7,1,15,80,37,8,14,0,0,0,1,3,1,0,2,12,3,0,0,6,1,1,0,3
2020-3-12,128,0,0,1,2,0,1,0,2,3,20,27,75,49,14,0,7,0,2,3,2,3,111,7,1,17,89,46,8,14,0,0,0,1,3,1,0,2,12,3,0,0,6,1,1,0,3
2020-3-13,137,0,0,1,2,0,1,0,2,3,22,29,77,50,14,0,7,0,2,3,2,3,114,7,1,17,92,56,8,14,0,0,0,1,3,1,0,2,12,3,1,0,6,1,1,0,3
2020-3-14,144,0,0,1,2,0,2,0,2,5,29,31,87,50,16,0,7,0,2,4,2,3,121,8,1,17,102,67,8,14,0,0,0,1,3,1,0,2,12,3,1,1,6,1,1,0,3
2020-3-15,148,0,0,1,2,0,2,0,2,5,29,31,90,55,16,0,7,0,2,4,2,3,121,8,2,17,106,78,8,15,0,0,0,1,3,1,0,2,12,3,1,1,6,1,1,0,3
2020-3-16,152,0,0,1,2,0,2,0,2,6,29,31,90,55,19,0,7,0,2,4,2,3,123,8,3,17,108,82,8,15,0,0,0,1,3,1,0,2,12,3,1,1,6,1,1,0,3
2020-3-17,152,0,0,1,2,0,2,1,2,10,34,31,102,59,21,0,7,0,2,4,2,3,125,8,4,19,112,86,8,15,0,0,0,1,3,1,1,2,12,4,1,1,6,1,3,0,3
2020-3-18,154,0,0,1,2,0,2,2,3,10,35,33,111,60,22,0,7,1,2,4,3,3,130,9,4,21,117,91,8,15,0,0,0,1,3,1,1,3,12,4,1,1,6,1,3,0,3
2020-3-19,157,0,0,1,2,0,2,3,3,10,39,36,118,66,24,0,7,1,2,4,3,3,134,9,4,21,119,93,8,17,0,0,0,1,3,1,1,3,12,5,1,1,7,3,3,0,3
2020-3-20,158,0,0,1,2,0,2,3,4,11,42,41,129,68,25,0,8,1,2,4,3,3,139,9,4,22,123,101,8,17,0,0,0,2,3,1,1,3,12,5,1,1,7,8,3,0,3
2020-3-21,159,0,0,1,2,0,2,3,4,11,45,42,136,72,27,0,8,1,2,4,3,3,141,9,4,23,125,107,8,17,0,0,0,2,3,1,1,3,12,5,1,1,7,13,3,0,3
2020-3-22,162,0,0,1,2,0,2,4,4,11,51,44,139,77,27,0,8,1,2,4,5,3,143,9,4,24,131,111,9,17,0,0,1,3,4,1,1,3,12,5,1,1,7,21,3,0,3
2020-3-23,162,2,0,1,2,0,2,5,4,11,52,47,155,77,27,0,8,1,2,4,8,3,145,9,5,25,134,113,9,17,0,0,1,3,4,1,1,3,12,6,1,1,7,22,3,0,4
2020-3-24,163,2,0,1,2,0,2,10,6,13,59,48,173,83,28,0,8,1,4,5,11,3,148,9,5,27,142,118,9,17,0,0,1,3,4,1,1,3,12,9,1,1,7,23,3,0,5
2020-3-25,167,6,0,1,2,0,2,10,10,14,60,53,214,87,29,0,8,3,4,5,12,3,154,9,5,31,149,119,9,17,0,0,1,3,5,1,1,3,12,9,1,2,8,25,3,0,5
2020-3-26,168,6,0,2,2,0,2,10,11,14,67,56,260,93,29,0,8,6,4,5,15,3,157,9,6,34,156,120,9,17,0,0,1,4,6,1,1,3,12,12,1,2,8,25,3,1,6
2020-3-27,169,6,0,2,4,0,2,13,11,14,73,63,300,104,30,0,8,9,4,6,17,3,160,9,6,35,176,123,9,17,0,0,2,4,6,1,1,4,13,16,1,2,10,27,3,1,6
2020-3-28,172,7,0,2,4,0,2,16,11,18,79,125,364,116,31,0,9,12,4,6,19,4,164,9,6,40,191,126,11,17,0,0,3,4,6,1,1,4,13,22,1,2,11,27,3,1,8
2020-3-29,176,7,0,4,4,0,2,16,12,18,84,158,436,125,31,0,9,13,4,8,20,4,167,9,6,47,208,133,11,17,0,0,3,6,6,1,1,4,14,26,1,2,12,28,3,1,8
2020-3-30,177,8,0,6,5,0,2,20,12,18,85,158,448,128,31,1,11,15,5,8,22,8,170,11,6,56,216,137,11,18,0,0,4,6,6,1,2,4,15,29,1,2,14,28,3,1,9
2020-3-31,177,8,0,7,6,1,4,24,14,19,100,171,526,142,31,2,13,20,6,8,26,10,178,11,7,69,244,148,11,18,0,0,4,6,6,3,2,9,17,46,2,2,14,29,3,1,9
2020-4-1,182,8,0,11,7,2,6,42,17,20,104,185,593,161,32,5,15,21,9,9,31,12,183,11,7,76,278,162,15,19,0,0,5,6,6,3,2,9,20,78,3,5,15,29,3,2,9
2020-4-2,185,9,0,12,9,3,8,44,17,21,118,190,691,186,32,8,16,30,9,9,36,13,190,12,8,88,311,169,19,21,0,0,7,11,6,3,2,12,21,100,3,8,15,30,3,3,9
2020-4-3,190,11,0,18,10,8,9,54,17,25,135,210,783,217,35,8,24,42,11,10,40,15,202,13,14,106,346,175,21,22,0,0,9,13,7,3,2,19,23,119,5,9,18,31,7,3,11
2020-4-4,193,11,0,20,11,10,14,59,17,26,160,236,901,238,35,10,32,46,12,11,47,16,221,13,17,116,387,190,24,22,0,0,10,15,8,3,2,20,26,146,6,11,18,32,8,3,16
2020-4-5,194,11,0,23,11,13,16,64,17,26,185,262,1042,265,35,10,43,53,14,12,58,16,228,13,18,125,408,203,25,24,0,0,11,15,12,3,2,21,33,162,8,12,19,32,10,3,16
2020-4-6,194,11,0,26,11,19,16,71,17,26,199,280,1127,271,35,11,45,59,19,14,59,18,239,13,19,133,428,209,26,29,0,0,11,16,13,3,2,23,36,176,8,12,20,33,11,3,22
2020-4-7,198,12,0,32,11,19,24,77,20,29,216,293,1214,289,37,13,55,65,22,14,69,21,260,13,24,145,481,229,28,31,0,0,12,19,16,3,2,23,38,199,11,12,21,35,12,3,34
2020-4-8,208,12,0,34,11,22,29,77,26,29,250,327,1370,355,39,14,66,72,25,19,77,29,280,13,26,155,524,248,30,34,0,0,14,24,17,3,3,25,39,224,11,13,22,41,16,4,39
2020-4-9,226,14,0,36,11,27,33,82,31,33,285,357,1553,381,41,21,72,77,27,21,86,32,301,15,33,165,616,287,34,37,0,1,15,25,17,3,3,26,49,250,12,13,23,41,16,4,42
2020-4-10,239,17,0,38,13,32,36,91,32,44,338,390,1752,436,41,23,92,82,30,28,97,36,315,15,34,174,696,316,37,38,1,2,15,30,18,3,4,28,54,289,12,14,24,42,16,4,48
2020-4-11,255,22,0,45,15,33,37,103,35,79,375,426,1950,512,42,30,104,86,33,28,106,38,325,17,38,181,766,358,39,38,1,6,15,56,19,3,4,30,54,332,13,14,25,42,17,4,56
2020-4-12,267,22,0,51,15,38,38,109,35,90,415,470,2124,543,42,44,113,88,35,29,112,40,327,17,38,193,811,375,41,39,1,7,15,62,23,3,8,30,60,362,13,14,27,42,17,4,65
